Pupil's Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Dewain Wogdon,10/10/2014,10/10/2021,October,Friday,35
Merrily Altamirano,3/18/2013,3/18/2021,March,Thursday,11
Bartholemy Rattrie,2/24/2013,2/24/2021,February,Wednesday,12
Leroi Heikkinen,4/21/2012,4/21/2021,April,Wednesday,11
Kamila Blakes,6/29/2014,6/29/2021,June,Tuesday,15
Vincent Seedull,1/12/2012,1/12/2021,January,Tuesday,14
Remy La Torre,4/23/2013,4/23/2021,April,Friday,44
Brig Lawty,3/28/2015,3/28/2021,March,Friday,28
Kassie Darben,2/10/2014,2/10/2021,February,Wednesday,12
Barnie Drees,4/25/2013,4/25/2021,April,Friday,44
Leslie Pezey,8/2/2013,8/2/2021,August,Monday,15
Ted Gobel,5/29/2014,5/29/2021,May,Friday,32
Noach Pagen,11/11/2013,11/11/2021,November,Thursday,12
Elita Taggert,11/8/2012,11/8/2021,November,Monday,12
Tony Roches,7/3/2013,7/3/2021,July,Friday,46
Phelia Wines,12/7/2011,12/7/2021,December,Tuesday,9
Kris Boarer,2/4/2013,2/4/2021,February,Thursday,7
Courtnay Fearey,1/30/2012,1/30/2021,January,Friday,41
Bartie Pedrazzi,1/8/2014,1/8/2021,January,Friday,41
Pincas Sogg,8/19/2015,8/19/2021,August,Thursday,9
Delainey Rand,3/10/2012,3/10/2021,March,Wednesday,19
Alvy Fleis,10/28/2012,10/28/2021,October,Thursday,11
Chrotoem Thominga,7/20/2014,7/20/2021,July,Tuesday,19
Ebeneser Gobel,5/10/2012,5/10/2021,May,Monday,15
Orelee Perillio,2/19/2014,2/19/2021,February,Friday,36
Carmelita Wiffen,9/11/2011,9/11/2021,September,Friday,29
Dion Grimestone,9/16/2011,9/16/2021,September,Thursday,14
Terry Sloey,3/29/2013,3/29/2021,March,Monday,13
Reube Pallaske,8/4/2015,8/4/2021,August,Wednesday,10
Ossie Woodard,1/12/2012,1/12/2021,January,Tuesday,14
Olly Navarijo,9/8/2012,9/8/2021,September,Wednesday,14
Maybelle Shackesby,4/30/2015,4/30/2021,April,Friday,44
Seumas Plum,4/28/2013,4/28/2021,April,Wednesday,11
Burl Glassborow,7/31/2015,7/31/2021,July,Friday,46
Farra Laidler,3/29/2015,3/29/2021,March,Monday,13
Olwen Callicott,2/1/2013,2/1/2021,February,Monday,13
Zoe Djorvic,4/4/2013,4/4/2021,April,Friday,44
Tonye Faudrie,4/1/2012,4/1/2021,April,Thursday,21
Jody Alvin,5/15/2013,5/15/2021,May,Friday,32
Brandie Feuell,5/10/2015,5/10/2021,May,Monday,15
Mic Stonard,7/12/2013,7/12/2021,July,Monday,12
Jilli Kevane,11/11/2011,11/11/2021,November,Thursday,12
Jessie Fforde,6/5/2014,6/5/2021,June,Friday,29
Eleonora Manntschke,12/12/2014,12/12/2021,December,Friday,51
Westley Bergin,12/30/2012,12/30/2021,December,Thursday,14
Thelma Carabine,6/14/2014,6/14/2021,June,Monday,11
Nannie Ferebee,3/11/2015,3/11/2021,March,Thursday,11
Sib Klink,12/7/2014,12/7/2021,December,Tuesday,9
Keely Skellion,7/24/2015,7/24/2021,July,Friday,46
Erinna Rosthorn,6/14/2013,6/14/2021,June,Monday,11
Elvin Lewinton,9/10/2013,9/10/2021,September,Friday,29
Rosana Zoellner,5/19/2014,5/19/2021,May,Wednesday,12
Elaine Blackborough,7/31/2013,7/31/2021,July,Friday,46
Roddie Ovett,7/10/2013,7/10/2021,July,Friday,46
Ninnetta Galia,4/1/2013,4/1/2021,April,Thursday,21
Casandra Norewood,11/24/2014,11/24/2021,November,Wednesday,13
Pen Haney`,12/25/2011,12/25/2021,December,Friday,51
Brigg Mendel,2/20/2015,2/20/2021,February,Friday,36
Susana Cookney,3/17/2012,3/17/2021,March,Wednesday,19
Codi Widger,7/4/2014,7/4/2021,July,Friday,46
Sonny Finlason,11/26/2014,11/26/2021,November,Friday,38
Felike Whardley,7/18/2014,7/18/2021,July,Friday,46
Aileen Overill,6/26/2012,6/26/2021,June,Friday,29
Rayna Hobble,1/2/2014,1/2/2021,January,Friday,41
Dela Corradeschi,10/4/2014,10/4/2021,October,Monday,9
Temple Arnald,11/15/2013,11/15/2021,November,Monday,12
Corey Garnsworthy,1/12/2012,1/12/2021,January,Tuesday,14
Lyssa Skotcher,3/3/2013,3/3/2021,March,Wednesday,19
Farra Congreave,6/20/2014,6/20/2021,June,Friday,29
Chanda Hartle,8/23/2014,8/23/2021,August,Monday,15
Emmott Pressman,11/2/2012,11/2/2021,November,Tuesday,17
Alvera Roussel,5/22/2013,5/22/2021,May,Friday,32
Korney Pennington,8/24/2013,8/24/2021,August,Tuesday,10
Travus Rousby,9/20/2011,9/20/2021,September,Monday,12
Wakefield Pleaden,2/21/2014,2/21/2021,February,Friday,36
Amy Pirrie,11/6/2013,11/6/2021,November,Friday,38
Barn Poyntz,6/22/2015,6/22/2021,June,Tuesday,15
Heindrick Okie,5/6/2014,5/6/2021,May,Thursday,6
Gan Thulborn,12/18/2011,12/18/2021,December,Friday,51
Delphinia Wallach,6/12/2015,6/12/2021,June,Friday,29
Harlin Hallad,11/28/2012,11/28/2021,November,Friday,38
Ida Side,4/22/2015,4/22/2021,April,Thursday,21
Lia Cavilla,4/6/2015,4/6/2021,April,Tuesday,12
Tammie Bevans,12/17/2012,12/17/2021,December,Friday,51
Towney Genny,10/26/2011,10/26/2021,October,Tuesday,13
Darsie Midson,7/10/2015,7/10/2021,July,Friday,46
Bobbee Timeby,10/12/2014,10/12/2021,October,Tuesday,13
Giacinta Pardal,5/28/2012,5/28/2021,May,Friday,32
Justinian McCrossan,1/25/2015,1/25/2021,January,Monday,12
Maxine Peizer,10/6/2013,10/6/2021,October,Wednesday,14
Claudell Oloshin,12/25/2011,12/25/2021,December,Friday,51
Risa Marc,7/31/2013,7/31/2021,July,Friday,46
Leontine Kowalski,12/31/2011,12/31/2021,December,Friday,51
Yasmin Lindsell,9/28/2012,9/28/2021,September,Tuesday,7
Carlyle Bestwick,8/8/2013,8/8/2021,August,Friday,27
Arnold Emps,6/22/2013,6/22/2021,June,Tuesday,15
Cassandry Trevaskus,1/5/2015,1/5/2021,January,Tuesday,14
Julianna Whitlock,2/25/2014,2/25/2021,February,Thursday,7
Meryl Grzelewski,6/4/2012,6/4/2021,June,Friday,29
Louella Ketch,8/17/2015,8/17/2021,August,Tuesday,10
Meredith Dreng,9/12/2011,9/12/2021,September,Friday,29
Brana Bridgstock,1/4/2015,1/4/2021,January,Monday,12
Efrem Roswarne,10/21/2014,10/21/2021,October,Thursday,11
Catrina Hannabuss,3/12/2012,3/12/2021,March,Friday,28
Ainslie Swansbury,10/3/2012,10/3/2021,October,Friday,35
Jerry Archard,3/9/2013,3/9/2021,March,Tuesday,6
Cly Chevis,12/19/2012,12/19/2021,December,Friday,51
Tarrance Alves,12/24/2013,12/24/2021,December,Friday,51
Geneva Bakesef,12/5/2014,12/5/2021,December,Friday,51
Rosaline Youel,3/19/2013,3/19/2021,March,Friday,28
Livvyy Cessford,6/23/2014,6/23/2021,June,Wednesday,12
Deirdre Maharey,7/17/2015,7/17/2021,July,Friday,46
Dyan Heckney,5/2/2014,5/2/2021,May,Friday,32
Alika Bunclark,11/9/2014,11/9/2021,November,Tuesday,17
Daryle Flewitt,9/11/2012,9/11/2021,September,Friday,29
Clovis Okeshott,2/1/2015,2/1/2021,February,Monday,13
Gratia Shory,4/2/2015,4/2/2021,April,Friday,44
Alane Beidebeke,11/22/2012,11/22/2021,November,Monday,12
Bridie Hembery,5/26/2013,5/26/2021,May,Wednesday,12
Hannis Loughran,2/2/2013,2/2/2021,February,Tuesday,8
Gwen Glowinski,3/4/2012,3/4/2021,March,Thursday,11
Henrie Wrightson,12/1/2014,12/1/2021,December,Wednesday,20
Ludwig Raine,2/18/2014,2/18/2021,February,Thursday,7
Hamel Pie,12/24/2013,12/24/2021,December,Friday,51
Tamma Sergison,6/19/2012,6/19/2021,June,Friday,29
Ninetta Worling,2/15/2015,2/15/2021,February,Monday,13
Stanford Tinton,4/9/2013,4/9/2021,April,Friday,44
Ertha MacCook,12/14/2013,12/14/2021,December,Tuesday,9
Lawton Randles,12/12/2011,12/12/2021,December,Friday,51
Engracia Pashbee,9/23/2013,9/23/2021,September,Thursday,14
